#DEPTH,lithology,lithology_CNN,CASE,Fluid_KNN
1512.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1513,Shale,Shale,Non-Reservoir,Non-Reservoir
1513.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1513.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1513.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1513.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1513.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1513.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1513.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1514,Shale,Shale,Non-Reservoir,Non-Reservoir
1514.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1514.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1514.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1514.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1514.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1514.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1514.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1515,Shale,Shale,Non-Reservoir,Non-Reservoir
1515.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1515.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1515.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1515.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1515.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1515.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1515.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1516,Shale,Shale,Non-Reservoir,Non-Reservoir
1516.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1516.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1516.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1516.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1516.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1516.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1516.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1517,Shale,Shale,Non-Reservoir,Non-Reservoir
1517.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1517.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1517.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1517.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1517.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1517.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1517.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1518,Shale,Shale,Non-Reservoir,Non-Reservoir
1518.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1518.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1518.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1518.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1518.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1518.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1518.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1519,Shale,Shale,Non-Reservoir,Non-Reservoir
1519.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1519.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1519.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1519.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1519.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1519.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1519.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1520,Shale,Shale,Non-Reservoir,Non-Reservoir
1520.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1520.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1520.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1520.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1520.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1520.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1520.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1521,Shale,Shale,Non-Reservoir,Non-Reservoir
1521.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1521.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1521.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1521.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1521.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1521.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1521.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1522,Shale,Shale,Non-Reservoir,Non-Reservoir
1522.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1522.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1522.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1522.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1522.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1522.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1522.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1523,Shale,Shale,Non-Reservoir,Non-Reservoir
1523.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1523.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1523.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1523.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1523.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1523.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1523.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1524,Shale,Shale,Non-Reservoir,Non-Reservoir
1524.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1524.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1524.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1524.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1524.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1524.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1524.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1525,Shale,Shale,Non-Reservoir,Non-Reservoir
