#DEPTH	POR	Vma	Vsh	Sw	Sh	Sxo	Vma1	Vma2	Vma3	Shm	Shr	DEN	AC	CNL	RT	RXO	GR	SP	CAL	Vsh_multi	POR_multi	Sw_multi
1649.25	13.84107764	41.15264172	45.00628064	26.88820019	73.11179981	99.99	37.66373267	2.245109643	1.24379941	73.10179981	0.01	1.9124280379505119	197.0708243384194	16.87447997	2.884681394	0.836139926	163.28414043805765	52.65544416	22.498717929176095	45.23988664	11.179232768962928	27.40861475
1649.375	13.4650196	42.85203915	43.68294125	26.21670988	73.78329012	99.99	39.21905567	2.337821396	1.295162079	73.77329012	0.01	1.8852213643048807	197.07264326076103	16.55414242	3.003152907	0.855725621	163.1008720534142	54.39636129	22.498636195615333	45.33035755	11.609093962225845	28.23779583
1649.5	13.57507564	43.87151316	42.5534112	25.88664927	74.11335073	98.81753411	40.15209898	2.393439476	1.32597471	72.93088485	1.182465885	1.8765325955600556	197.3791618887868	16.39522394	3.051298138	0.864069715	162.62965268062266	54.373993	22.498497204182947	44.71474886	11.824084963627728	28.99058759
1649.625	13.57593213	42.72548609	43.69858178	26.60873013	73.39126987	98.26738604	39.10323175	2.33091721	1.291337133	71.65865591	1.732613957	1.8836318210432133	198.1706176401528	16.29523646	3.094761704	0.876505433	162.04158945603012	55.21796902	22.498307868656347	44.9321568	11.948218526741208	29.3958813
1649.75	13.21672377	43.27795169	43.50532454	26.40990778	73.59009222	98.39824359	39.60885947	2.361057337	1.30803488	71.98833581	1.601756406	1.901872795384656	199.41084965527196	16.32580055	3.095447204	0.880791176	161.48294222713574	54.36981575	22.498077784106137	44.46718693	12.08360856397039	29.37271595
1649.875	13.58458039	42.89348961	43.52193	26.25503394	73.74496606	98.26957954	39.25699198	2.340082754	1.29641488	72.0145456	1.730420459	1.9256288975804745	200.94821225512953	16.50109874	3.040209314	0.868828068	161.07851770349964	54.2103477	22.497818536689454	42.20076203	12.31408491061044	33.45837593
1650	13.54086249	41.78742291	44.6717146	26.51898926	73.48101074	99.60000943	38.24469729	2.279740552	1.262985067	73.08102017	0.399990571	1.9494434625767667	202.77354157048305	16.42485598	3.093891954	0.865854302	160.90080062174064	53.48051292	22.497542861842074	42.94859171	12.69935418896845	27.86959112
1650.125	13.83869377	42.80572382	43.35558241	24.97769688	75.02230312	99.99	39.17666695	2.335294633	1.293762242	75.01230312	0.01	1.969362313207069	204.9672607750712	16.33492306	3.135389678	0.862353372	160.94786500200112	52.78881389	22.49726376356146	41.65735543	13.222612663506215	27.64462829
1650.25	14.10876302	42.94545338	42.94578359	25.14489648	74.85510352	99.99	39.30455027	2.342917671	1.297985435	74.84510352	0.01	1.9836067872476568	207.36983993077837	16.31151669	3.141552972	0.856958903	161.13989641010147	52.96794972	22.496993550501326	41.75495505	13.768043000405694	27.73815393
1650.375	14.35281176	42.06062861	43.58655963	25.79561115	74.20438885	99.49842352	38.49474069	2.29464547	1.271242449	73.70281237	0.501576479	1.9918810144273698	209.552837528659	16.18502542	3.228589427	0.858582533	161.3321310860082	53.03856354	22.496743103517442	42.37975776	14.199947528087389	26.8250823
